,Cell,Cell_type
2389,human2_lib1.final_cell_0453,delta
2390,human2_lib1.final_cell_0454,alpha
2391,human2_lib1.final_cell_0455,alpha
2392,human2_lib1.final_cell_0456,ductal
2393,human2_lib1.final_cell_0457,activated_stellate
2394,human2_lib1.final_cell_0458,alpha
2395,human2_lib1.final_cell_0459,alpha
2396,human2_lib1.final_cell_0460,alpha
2397,human2_lib1.final_cell_0461,gamma
2398,human2_lib1.final_cell_0462,alpha
2399,human2_lib1.final_cell_0463,beta
2400,human2_lib1.final_cell_0464,alpha
2401,human2_lib1.final_cell_0465,alpha
2402,human2_lib1.final_cell_0466,beta
2403,human2_lib1.final_cell_0467,ductal
2404,human2_lib1.final_cell_0468,schwann
2405,human2_lib1.final_cell_0469,delta
2406,human2_lib1.final_cell_0470,gamma
2407,human2_lib1.final_cell_0471,activated_stellate
2408,human2_lib1.final_cell_0472,alpha
2409,human2_lib1.final_cell_0473,ductal
2410,human2_lib1.final_cell_0474,beta
2411,human2_lib1.final_cell_0475,beta
2412,human2_lib1.final_cell_0476,alpha
2413,human2_lib1.final_cell_0477,gamma
2414,human2_lib1.final_cell_0478,gamma
2415,human2_lib1.final_cell_0479,ductal
2416,human2_lib1.final_cell_0480,alpha
2417,human2_lib1.final_cell_0481,activated_stellate
2418,human2_lib1.final_cell_0482,endothelial
2419,human2_lib1.final_cell_0483,beta
2420,human2_lib1.final_cell_0484,beta
2421,human2_lib1.final_cell_0485,endothelial
2422,human2_lib1.final_cell_0486,alpha
2423,human2_lib1.final_cell_0487,beta
2424,human2_lib1.final_cell_0488,beta
2425,human2_lib1.final_cell_0489,alpha
2426,human2_lib1.final_cell_0490,ductal
2427,human2_lib1.final_cell_0491,alpha
2428,human2_lib1.final_cell_0492,alpha
2429,human2_lib1.final_cell_0493,alpha
2430,human2_lib1.final_cell_0494,gamma
2431,human2_lib1.final_cell_0495,activated_stellate
2432,human2_lib1.final_cell_0496,alpha
2433,human2_lib1.final_cell_0497,beta
2434,human2_lib1.final_cell_0498,alpha
2435,human2_lib1.final_cell_0499,alpha
2436,human2_lib1.final_cell_0500,quiescent_stellate
2437,human2_lib1.final_cell_0501,gamma
2438,human2_lib1.final_cell_0502,alpha
2439,human2_lib1.final_cell_0503,alpha
2440,human2_lib1.final_cell_0504,alpha
2441,human2_lib1.final_cell_0505,alpha
2442,human2_lib1.final_cell_0506,alpha
2443,human2_lib1.final_cell_0507,quiescent_stellate
2444,human2_lib1.final_cell_0508,alpha
2445,human2_lib1.final_cell_0509,alpha
2446,human2_lib1.final_cell_0510,alpha
2447,human2_lib1.final_cell_0511,ductal
2448,human2_lib1.final_cell_0512,alpha
2449,human2_lib1.final_cell_0513,beta
2450,human2_lib1.final_cell_0514,beta
2451,human2_lib1.final_cell_0515,beta
2452,human2_lib1.final_cell_0516,beta
2453,human2_lib1.final_cell_0517,ductal
2454,human2_lib1.final_cell_0518,alpha
2455,human2_lib1.final_cell_0519,alpha
2456,human2_lib1.final_cell_0520,ductal
2457,human2_lib1.final_cell_0521,alpha
2458,human2_lib1.final_cell_0522,beta
2459,human2_lib1.final_cell_0523,activated_stellate
2460,human2_lib1.final_cell_0524,ductal
2461,human2_lib1.final_cell_0525,mast
2462,human2_lib1.final_cell_0526,alpha
2463,human2_lib1.final_cell_0527,beta
2464,human2_lib1.final_cell_0528,alpha
2465,human2_lib1.final_cell_0529,alpha
2466,human2_lib1.final_cell_0530,beta
2467,human2_lib1.final_cell_0531,gamma
2468,human2_lib1.final_cell_0532,beta
2469,human2_lib1.final_cell_0533,ductal
2470,human2_lib1.final_cell_0534,ductal
2471,human2_lib1.final_cell_0535,ductal
2472,human2_lib1.final_cell_0536,ductal
2473,human2_lib1.final_cell_0537,alpha
2474,human2_lib1.final_cell_0538,beta
2475,human2_lib1.final_cell_0539,ductal
2476,human2_lib1.final_cell_0540,beta
2477,human2_lib1.final_cell_0541,endothelial
2478,human2_lib1.final_cell_0542,beta
2479,human2_lib1.final_cell_0543,beta
2480,human2_lib1.final_cell_0544,macrophage
2481,human2_lib1.final_cell_0545,gamma
2482,human2_lib1.final_cell_0546,ductal
2483,human2_lib1.final_cell_0547,ductal
2484,human2_lib1.final_cell_0548,beta
2485,human2_lib1.final_cell_0549,quiescent_stellate
2486,human2_lib1.final_cell_0550,ductal
2487,human2_lib1.final_cell_0551,alpha
2488,human2_lib1.final_cell_0552,alpha
2489,human2_lib1.final_cell_0553,ductal
2490,human2_lib1.final_cell_0554,alpha
2491,human2_lib1.final_cell_0555,ductal
2492,human2_lib1.final_cell_0556,beta
2493,human2_lib1.final_cell_0557,alpha
2494,human2_lib1.final_cell_0558,ductal
2495,human2_lib1.final_cell_0559,beta
2496,human2_lib2.final_cell_0001,delta
2497,human2_lib2.final_cell_0002,alpha
2498,human2_lib2.final_cell_0003,alpha
2499,human2_lib2.final_cell_0004,alpha
2500,human2_lib2.final_cell_0005,alpha
2501,human2_lib2.final_cell_0006,delta
2502,human2_lib2.final_cell_0007,ductal
2503,human2_lib2.final_cell_0008,alpha
2504,human2_lib2.final_cell_0009,delta
2505,human2_lib2.final_cell_0010,delta
2506,human2_lib2.final_cell_0011,delta
2507,human2_lib2.final_cell_0012,activated_stellate
2508,human2_lib2.final_cell_0013,beta
2509,human2_lib2.final_cell_0014,delta
2510,human2_lib2.final_cell_0015,ductal
2511,human2_lib2.final_cell_0016,ductal
2512,human2_lib2.final_cell_0017,ductal
2513,human2_lib2.final_cell_0018,ductal
2514,human2_lib2.final_cell_0019,alpha
2515,human2_lib2.final_cell_0020,delta
2516,human2_lib2.final_cell_0021,macrophage
2517,human2_lib2.final_cell_0022,beta
2518,human2_lib2.final_cell_0023,delta
2519,human2_lib2.final_cell_0024,ductal
2520,human2_lib2.final_cell_0025,beta
2521,human2_lib2.final_cell_0026,delta
2522,human2_lib2.final_cell_0027,alpha
2523,human2_lib2.final_cell_0028,alpha
2524,human2_lib2.final_cell_0029,activated_stellate
2525,human2_lib2.final_cell_0030,ductal
2526,human2_lib2.final_cell_0031,beta
2527,human2_lib2.final_cell_0032,ductal
2528,human2_lib2.final_cell_0033,alpha
2529,human2_lib2.final_cell_0034,delta
2530,human2_lib2.final_cell_0035,ductal
2531,human2_lib2.final_cell_0036,ductal
2532,human2_lib2.final_cell_0037,beta
2533,human2_lib2.final_cell_0038,alpha
2534,human2_lib2.final_cell_0039,alpha
2535,human2_lib2.final_cell_0040,beta
2536,human2_lib2.final_cell_0041,alpha
2537,human2_lib2.final_cell_0042,beta
2538,human2_lib2.final_cell_0043,ductal
2539,human2_lib2.final_cell_0044,ductal
2540,human2_lib2.final_cell_0045,ductal
2541,human2_lib2.final_cell_0046,beta
2542,human2_lib2.final_cell_0047,delta
2543,human2_lib2.final_cell_0048,beta
2544,human2_lib2.final_cell_0049,beta
2545,human2_lib2.final_cell_0050,ductal
2546,human2_lib2.final_cell_0051,alpha
2547,human2_lib2.final_cell_0052,ductal
2548,human2_lib2.final_cell_0053,ductal
2549,human2_lib2.final_cell_0054,beta
2550,human2_lib2.final_cell_0055,alpha
2551,human2_lib2.final_cell_0056,beta
2552,human2_lib2.final_cell_0057,beta
2553,human2_lib2.final_cell_0058,beta
2554,human2_lib2.final_cell_0059,alpha
2555,human2_lib2.final_cell_0060,alpha
2556,human2_lib2.final_cell_0061,beta
2557,human2_lib2.final_cell_0062,beta
2558,human2_lib2.final_cell_0063,alpha
2559,human2_lib2.final_cell_0064,beta
2560,human2_lib2.final_cell_0065,beta
2561,human2_lib2.final_cell_0066,beta
2562,human2_lib2.final_cell_0067,ductal
2563,human2_lib2.final_cell_0068,beta
2564,human2_lib2.final_cell_0069,activated_stellate
2565,human2_lib2.final_cell_0070,beta
2566,human2_lib2.final_cell_0071,ductal
2567,human2_lib2.final_cell_0072,beta
2568,human2_lib2.final_cell_0073,beta
2569,human2_lib2.final_cell_0074,alpha
2570,human2_lib2.final_cell_0075,ductal
2571,human2_lib2.final_cell_0076,ductal
2572,human2_lib2.final_cell_0077,beta
2573,human2_lib2.final_cell_0078,ductal
2574,human2_lib2.final_cell_0079,alpha
2575,human2_lib2.final_cell_0080,ductal
2576,human2_lib2.final_cell_0081,gamma
2577,human2_lib2.final_cell_0082,alpha
2578,human2_lib2.final_cell_0083,beta
2579,human2_lib2.final_cell_0084,beta
2580,human2_lib2.final_cell_0085,activated_stellate
2581,human2_lib2.final_cell_0086,beta
2582,human2_lib2.final_cell_0087,beta
2583,human2_lib2.final_cell_0088,alpha
2584,human2_lib2.final_cell_0089,beta
2585,human2_lib2.final_cell_0090,gamma
2586,human2_lib2.final_cell_0091,beta
2587,human2_lib2.final_cell_0092,alpha
2588,human2_lib2.final_cell_0093,ductal
2589,human2_lib2.final_cell_0094,beta
2590,human2_lib2.final_cell_0095,alpha
2591,human2_lib2.final_cell_0096,alpha
2592,human2_lib2.final_cell_0097,beta
2593,human2_lib2.final_cell_0098,alpha
2594,human2_lib2.final_cell_0099,alpha
2595,human2_lib2.final_cell_0100,alpha
2596,human2_lib2.final_cell_0101,alpha
2597,human2_lib2.final_cell_0102,activated_stellate
2598,human2_lib2.final_cell_0103,alpha
2599,human2_lib2.final_cell_0104,activated_stellate
2600,human2_lib2.final_cell_0105,beta
2601,human2_lib2.final_cell_0106,gamma
2602,human2_lib2.final_cell_0107,alpha
2603,human2_lib2.final_cell_0108,beta
2604,human2_lib2.final_cell_0109,delta
2605,human2_lib2.final_cell_0110,ductal
2606,human2_lib2.final_cell_0111,alpha
2607,human2_lib2.final_cell_0112,activated_stellate
2608,human2_lib2.final_cell_0113,beta
2609,human2_lib2.final_cell_0114,alpha
2610,human2_lib2.final_cell_0115,alpha
2611,human2_lib2.final_cell_0116,alpha
2612,human2_lib2.final_cell_0117,beta
2613,human2_lib2.final_cell_0118,beta
2614,human2_lib2.final_cell_0119,activated_stellate
2615,human2_lib2.final_cell_0120,macrophage
2616,human2_lib2.final_cell_0121,ductal
2617,human2_lib2.final_cell_0122,beta
2618,human2_lib2.final_cell_0123,beta
2619,human2_lib2.final_cell_0124,alpha
2620,human2_lib2.final_cell_0125,beta
2621,human2_lib2.final_cell_0126,beta
2622,human2_lib2.final_cell_0127,ductal
2623,human2_lib2.final_cell_0128,alpha
2624,human2_lib2.final_cell_0129,delta
2625,human2_lib2.final_cell_0130,beta
2626,human2_lib2.final_cell_0131,beta
2627,human2_lib2.final_cell_0132,alpha
2628,human2_lib2.final_cell_0133,beta
2629,human2_lib2.final_cell_0134,alpha
2630,human2_lib2.final_cell_0135,beta
2631,human2_lib2.final_cell_0136,ductal
2632,human2_lib2.final_cell_0137,beta
2633,human2_lib2.final_cell_0138,alpha
2634,human2_lib2.final_cell_0139,alpha
2635,human2_lib2.final_cell_0140,delta
2636,human2_lib2.final_cell_0141,beta
2637,human2_lib2.final_cell_0142,beta
2638,human2_lib2.final_cell_0143,alpha
2639,human2_lib2.final_cell_0144,macrophage
2640,human2_lib2.final_cell_0145,activated_stellate
2641,human2_lib2.final_cell_0146,ductal
2642,human2_lib2.final_cell_0147,beta
2643,human2_lib2.final_cell_0148,alpha
2644,human2_lib2.final_cell_0149,delta
2645,human2_lib2.final_cell_0150,macrophage
2646,human2_lib2.final_cell_0151,delta
2647,human2_lib2.final_cell_0152,alpha
2648,human2_lib2.final_cell_0153,ductal
2649,human2_lib2.final_cell_0154,acinar
2650,human2_lib2.final_cell_0155,delta
2651,human2_lib2.final_cell_0156,alpha
2652,human2_lib2.final_cell_0157,ductal
2653,human2_lib2.final_cell_0158,ductal
2654,human2_lib2.final_cell_0159,alpha
2655,human2_lib2.final_cell_0160,beta
2656,human2_lib2.final_cell_0161,ductal
2657,human2_lib2.final_cell_0162,ductal
2658,human2_lib2.final_cell_0163,alpha
2659,human2_lib2.final_cell_0164,alpha
2660,human2_lib2.final_cell_0165,delta
2661,human2_lib2.final_cell_0166,delta
2662,human2_lib2.final_cell_0167,alpha
2663,human2_lib2.final_cell_0168,alpha
2664,human2_lib2.final_cell_0169,ductal
2665,human2_lib2.final_cell_0170,alpha
2666,human2_lib2.final_cell_0171,alpha
2667,human2_lib2.final_cell_0172,delta
2668,human2_lib2.final_cell_0173,alpha
2669,human2_lib2.final_cell_0174,beta
2670,human2_lib2.final_cell_0175,beta
2671,human2_lib2.final_cell_0176,alpha
2672,human2_lib2.final_cell_0177,ductal
2673,human2_lib2.final_cell_0178,delta
2674,human2_lib2.final_cell_0179,alpha
2675,human2_lib2.final_cell_0180,activated_stellate
2676,human2_lib2.final_cell_0181,delta
2677,human2_lib2.final_cell_0182,beta
2678,human2_lib2.final_cell_0183,gamma
2679,human2_lib2.final_cell_0184,delta
2680,human2_lib2.final_cell_0185,gamma
2681,human2_lib2.final_cell_0186,beta
2682,human2_lib2.final_cell_0187,ductal
2683,human2_lib2.final_cell_0188,alpha
2684,human2_lib2.final_cell_0189,ductal
2685,human2_lib2.final_cell_0190,alpha
2686,human2_lib2.final_cell_0191,ductal
2687,human2_lib2.final_cell_0192,beta
2688,human2_lib2.final_cell_0193,ductal
2689,human2_lib2.final_cell_0194,alpha
2690,human2_lib2.final_cell_0195,beta
2691,human2_lib2.final_cell_0196,beta
2692,human2_lib2.final_cell_0197,ductal
2693,human2_lib2.final_cell_0198,beta
2694,human2_lib2.final_cell_0199,alpha
2695,human2_lib2.final_cell_0200,ductal
2696,human2_lib2.final_cell_0201,activated_stellate
2697,human2_lib2.final_cell_0202,alpha
2698,human2_lib2.final_cell_0203,beta
2699,human2_lib2.final_cell_0204,beta
2700,human2_lib2.final_cell_0205,ductal
2701,human2_lib2.final_cell_0206,alpha
2702,human2_lib2.final_cell_0207,ductal
2703,human2_lib2.final_cell_0208,alpha
2704,human2_lib2.final_cell_0209,alpha
2705,human2_lib2.final_cell_0210,alpha
2706,human2_lib2.final_cell_0211,alpha
2707,human2_lib2.final_cell_0212,alpha
2708,human2_lib2.final_cell_0213,beta
2709,human2_lib2.final_cell_0214,ductal
2710,human2_lib2.final_cell_0215,alpha
2711,human2_lib2.final_cell_0216,alpha
2712,human2_lib2.final_cell_0217,alpha
2713,human2_lib2.final_cell_0218,ductal
2714,human2_lib2.final_cell_0219,beta
2715,human2_lib2.final_cell_0220,ductal
2716,human2_lib2.final_cell_0221,activated_stellate
2717,human2_lib2.final_cell_0222,alpha
2718,human2_lib2.final_cell_0223,beta
2719,human2_lib2.final_cell_0224,alpha
2720,human2_lib2.final_cell_0225,alpha
2721,human2_lib2.final_cell_0226,ductal
2722,human2_lib2.final_cell_0227,alpha
2723,human2_lib2.final_cell_0228,alpha
2724,human2_lib2.final_cell_0229,beta
2725,human2_lib2.final_cell_0230,beta
2726,human2_lib2.final_cell_0231,beta
2727,human2_lib2.final_cell_0232,beta
2728,human2_lib2.final_cell_0233,ductal
2729,human2_lib2.final_cell_0234,macrophage
2730,human2_lib2.final_cell_0235,alpha
2731,human2_lib2.final_cell_0236,ductal
2732,human2_lib2.final_cell_0237,alpha
2733,human2_lib2.final_cell_0238,beta
2734,human2_lib2.final_cell_0239,beta
2735,human2_lib2.final_cell_0240,ductal
2736,human2_lib2.final_cell_0241,beta
2737,human2_lib2.final_cell_0242,delta
2738,human2_lib2.final_cell_0243,quiescent_stellate
2739,human2_lib2.final_cell_0244,alpha
2740,human2_lib2.final_cell_0245,alpha
2741,human2_lib2.final_cell_0246,beta
2742,human2_lib2.final_cell_0247,ductal
2743,human2_lib2.final_cell_0248,beta
2744,human2_lib2.final_cell_0249,alpha
2745,human2_lib2.final_cell_0250,beta
2746,human2_lib2.final_cell_0251,alpha
2747,human2_lib2.final_cell_0252,beta
2748,human2_lib2.final_cell_0253,beta
2749,human2_lib2.final_cell_0254,beta
2750,human2_lib2.final_cell_0255,beta
2751,human2_lib2.final_cell_0256,alpha
2752,human2_lib2.final_cell_0257,alpha
2753,human2_lib2.final_cell_0258,beta
2754,human2_lib2.final_cell_0259,alpha
2755,human2_lib2.final_cell_0260,delta
2756,human2_lib2.final_cell_0261,alpha
2757,human2_lib2.final_cell_0262,beta
2758,human2_lib2.final_cell_0263,schwann
2759,human2_lib2.final_cell_0264,beta
2760,human2_lib2.final_cell_0265,beta
2761,human2_lib2.final_cell_0266,alpha
2762,human2_lib2.final_cell_0267,alpha
2763,human2_lib2.final_cell_0268,alpha
2764,human2_lib2.final_cell_0269,beta
2765,human2_lib2.final_cell_0270,alpha
2766,human2_lib2.final_cell_0271,beta
2767,human2_lib2.final_cell_0272,ductal
2768,human2_lib2.final_cell_0273,ductal
2769,human2_lib2.final_cell_0274,gamma
2770,human2_lib2.final_cell_0275,beta
2771,human2_lib2.final_cell_0276,alpha
2772,human2_lib2.final_cell_0277,ductal
2773,human2_lib2.final_cell_0278,beta
2774,human2_lib2.final_cell_0279,ductal
2775,human2_lib2.final_cell_0280,ductal
2776,human2_lib2.final_cell_0281,alpha
2777,human2_lib2.final_cell_0282,activated_stellate
2778,human2_lib2.final_cell_0283,delta
2779,human2_lib2.final_cell_0284,beta
2780,human2_lib2.final_cell_0285,beta
2781,human2_lib2.final_cell_0286,beta
2782,human2_lib2.final_cell_0287,alpha
2783,human2_lib2.final_cell_0288,alpha
2784,human2_lib2.final_cell_0289,alpha
2785,human2_lib2.final_cell_0290,activated_stellate
2786,human2_lib2.final_cell_0291,alpha
2787,human2_lib2.final_cell_0292,alpha
2788,human2_lib2.final_cell_0293,alpha
2789,human2_lib2.final_cell_0294,alpha
2790,human2_lib2.final_cell_0295,alpha
2791,human2_lib2.final_cell_0296,delta
2792,human2_lib2.final_cell_0297,alpha
2793,human2_lib2.final_cell_0298,gamma
2794,human2_lib2.final_cell_0299,alpha
2795,human2_lib2.final_cell_0300,alpha
2796,human2_lib2.final_cell_0301,gamma
2797,human2_lib2.final_cell_0302,alpha
2798,human2_lib2.final_cell_0303,alpha
2799,human2_lib2.final_cell_0304,alpha
2800,human2_lib2.final_cell_0305,alpha
2801,human2_lib2.final_cell_0306,ductal
2802,human2_lib2.final_cell_0307,alpha
2803,human2_lib2.final_cell_0308,activated_stellate
2804,human2_lib2.final_cell_0309,alpha
2805,human2_lib2.final_cell_0310,delta
2806,human2_lib2.final_cell_0311,alpha
2807,human2_lib2.final_cell_0312,alpha
2808,human2_lib2.final_cell_0313,alpha
2809,human2_lib2.final_cell_0314,ductal
2810,human2_lib2.final_cell_0315,delta
2811,human2_lib2.final_cell_0316,alpha
2812,human2_lib2.final_cell_0317,alpha
2813,human2_lib2.final_cell_0318,alpha
2814,human2_lib2.final_cell_0319,alpha
2815,human2_lib2.final_cell_0320,beta
2816,human2_lib2.final_cell_0321,beta
2817,human2_lib2.final_cell_0322,alpha
2818,human2_lib2.final_cell_0323,activated_stellate
2819,human2_lib2.final_cell_0324,alpha
2820,human2_lib2.final_cell_0325,beta
2821,human2_lib2.final_cell_0326,alpha
2822,human2_lib2.final_cell_0327,beta
2823,human2_lib2.final_cell_0328,beta
2824,human2_lib2.final_cell_0329,alpha
2825,human2_lib2.final_cell_0330,alpha
2826,human2_lib2.final_cell_0331,activated_stellate
2827,human2_lib2.final_cell_0332,beta
2828,human2_lib2.final_cell_0333,alpha
2829,human2_lib2.final_cell_0334,beta
2830,human2_lib2.final_cell_0335,delta
2831,human2_lib2.final_cell_0336,beta
2832,human2_lib2.final_cell_0337,alpha
2833,human2_lib2.final_cell_0338,beta
2834,human2_lib2.final_cell_0339,gamma
2835,human2_lib2.final_cell_0340,alpha
2836,human2_lib2.final_cell_0341,alpha
2837,human2_lib2.final_cell_0342,alpha
2838,human2_lib2.final_cell_0343,beta
2839,human2_lib2.final_cell_0344,beta
2840,human2_lib2.final_cell_0345,beta
2841,human2_lib2.final_cell_0346,activated_stellate
2842,human2_lib2.final_cell_0347,endothelial
2843,human2_lib2.final_cell_0348,macrophage
2844,human2_lib2.final_cell_0349,alpha
2845,human2_lib2.final_cell_0350,alpha
2846,human2_lib2.final_cell_0351,gamma
2847,human2_lib2.final_cell_0352,alpha
2848,human2_lib2.final_cell_0353,endothelial
2849,human2_lib2.final_cell_0354,alpha
2850,human2_lib2.final_cell_0355,alpha
2851,human2_lib2.final_cell_0356,alpha
2852,human2_lib2.final_cell_0357,beta
2853,human2_lib2.final_cell_0358,quiescent_stellate
2854,human2_lib2.final_cell_0359,beta
2855,human2_lib2.final_cell_0360,alpha
2856,human2_lib2.final_cell_0361,ductal
2857,human2_lib2.final_cell_0362,ductal
2858,human2_lib2.final_cell_0363,alpha
2859,human2_lib2.final_cell_0364,alpha
2860,human2_lib2.final_cell_0365,ductal
2861,human2_lib2.final_cell_0366,beta
2862,human2_lib2.final_cell_0367,alpha
2863,human2_lib2.final_cell_0368,alpha
2864,human2_lib2.final_cell_0369,ductal
2865,human2_lib2.final_cell_0370,beta
2866,human2_lib2.final_cell_0371,endothelial
2867,human2_lib2.final_cell_0372,alpha
2868,human2_lib2.final_cell_0373,alpha
2869,human2_lib2.final_cell_0374,alpha
2870,human2_lib2.final_cell_0375,activated_stellate
2871,human2_lib2.final_cell_0376,ductal
2872,human2_lib2.final_cell_0377,alpha
2873,human2_lib2.final_cell_0378,gamma
2874,human2_lib2.final_cell_0379,alpha
2875,human2_lib2.final_cell_0380,alpha
2876,human2_lib2.final_cell_0381,ductal
2877,human2_lib2.final_cell_0382,quiescent_stellate
2878,human2_lib2.final_cell_0383,ductal
2879,human2_lib2.final_cell_0384,ductal
2880,human2_lib2.final_cell_0385,alpha
2881,human2_lib2.final_cell_0386,activated_stellate
2882,human2_lib2.final_cell_0387,gamma
2883,human2_lib2.final_cell_0388,ductal
2884,human2_lib2.final_cell_0389,endothelial
2885,human2_lib2.final_cell_0390,alpha
2886,human2_lib2.final_cell_0391,ductal
2887,human2_lib2.final_cell_0392,beta
2888,human2_lib2.final_cell_0393,ductal
2889,human2_lib2.final_cell_0394,macrophage
2890,human2_lib2.final_cell_0395,alpha
2891,human2_lib2.final_cell_0396,alpha
2892,human2_lib2.final_cell_0397,beta
2893,human2_lib2.final_cell_0398,beta
2894,human2_lib2.final_cell_0399,beta
2895,human2_lib2.final_cell_0400,alpha
2896,human2_lib2.final_cell_0401,activated_stellate
2897,human2_lib2.final_cell_0402,alpha
2898,human2_lib2.final_cell_0403,ductal
2899,human2_lib2.final_cell_0404,alpha
2900,human2_lib2.final_cell_0405,alpha
2901,human2_lib2.final_cell_0406,alpha
2902,human2_lib2.final_cell_0407,alpha
2903,human2_lib2.final_cell_0408,gamma
2904,human2_lib2.final_cell_0409,beta
2905,human2_lib2.final_cell_0410,ductal
2906,human2_lib2.final_cell_0411,beta
2907,human2_lib2.final_cell_0412,alpha
2908,human2_lib2.final_cell_0413,beta
2909,human2_lib2.final_cell_0414,alpha
2910,human2_lib2.final_cell_0415,alpha
2911,human2_lib2.final_cell_0416,beta
2912,human2_lib2.final_cell_0417,alpha
2913,human2_lib2.final_cell_0418,alpha
2914,human2_lib2.final_cell_0419,gamma
2915,human2_lib2.final_cell_0420,ductal
2916,human2_lib2.final_cell_0421,beta
2917,human2_lib2.final_cell_0422,alpha
2918,human2_lib2.final_cell_0423,alpha
2919,human2_lib2.final_cell_0424,alpha
2920,human2_lib2.final_cell_0425,alpha
2921,human2_lib2.final_cell_0426,gamma
2922,human2_lib2.final_cell_0427,delta
2923,human2_lib2.final_cell_0428,alpha
2924,human2_lib2.final_cell_0429,activated_stellate
2925,human2_lib2.final_cell_0430,macrophage
2926,human2_lib2.final_cell_0431,beta
2927,human2_lib2.final_cell_0432,beta
2928,human2_lib2.final_cell_0433,alpha
2929,human2_lib2.final_cell_0434,gamma
2930,human2_lib2.final_cell_0435,beta
2931,human2_lib2.final_cell_0436,alpha
2932,human2_lib2.final_cell_0437,alpha
2933,human2_lib2.final_cell_0438,ductal
2934,human2_lib2.final_cell_0439,beta
2935,human2_lib2.final_cell_0440,beta
2936,human2_lib2.final_cell_0441,alpha
2937,human2_lib2.final_cell_0442,alpha
2938,human2_lib2.final_cell_0443,ductal
2939,human2_lib2.final_cell_0444,alpha
2940,human2_lib2.final_cell_0445,alpha
2941,human2_lib2.final_cell_0446,alpha
2942,human2_lib2.final_cell_0447,alpha
2943,human2_lib2.final_cell_0448,activated_stellate
2944,human2_lib2.final_cell_0449,alpha
2945,human2_lib2.final_cell_0450,alpha
2946,human2_lib2.final_cell_0451,alpha
2947,human2_lib2.final_cell_0452,alpha
2948,human2_lib2.final_cell_0453,gamma
2949,human2_lib2.final_cell_0454,beta
2950,human2_lib2.final_cell_0455,alpha
2951,human2_lib2.final_cell_0456,alpha
2952,human2_lib2.final_cell_0457,alpha
2953,human2_lib2.final_cell_0458,beta
2954,human2_lib2.final_cell_0459,beta
2955,human2_lib2.final_cell_0460,alpha
2956,human2_lib2.final_cell_0461,alpha
2957,human2_lib2.final_cell_0462,quiescent_stellate
2958,human2_lib2.final_cell_0463,ductal
2959,human2_lib2.final_cell_0464,alpha
2960,human2_lib2.final_cell_0465,beta
2961,human2_lib2.final_cell_0466,alpha
2962,human2_lib2.final_cell_0467,beta
2963,human2_lib2.final_cell_0468,ductal
2964,human2_lib2.final_cell_0469,beta
2965,human2_lib2.final_cell_0470,alpha
2966,human2_lib2.final_cell_0471,alpha
2967,human2_lib2.final_cell_0472,gamma
2968,human2_lib2.final_cell_0473,alpha
2969,human2_lib2.final_cell_0474,alpha
2970,human2_lib2.final_cell_0475,beta
2971,human2_lib2.final_cell_0476,activated_stellate
2972,human2_lib2.final_cell_0477,alpha
2973,human2_lib2.final_cell_0478,endothelial
2974,human2_lib2.final_cell_0479,alpha
2975,human2_lib2.final_cell_0480,alpha
2976,human2_lib2.final_cell_0481,alpha
2977,human2_lib2.final_cell_0482,alpha
2978,human2_lib2.final_cell_0483,beta
2979,human2_lib2.final_cell_0484,alpha
2980,human2_lib2.final_cell_0485,beta
2981,human2_lib2.final_cell_0486,alpha
2982,human2_lib2.final_cell_0487,alpha
2983,human2_lib2.final_cell_0488,gamma
2984,human2_lib2.final_cell_0489,alpha
2985,human2_lib2.final_cell_0490,alpha
2986,human2_lib2.final_cell_0491,alpha
2987,human2_lib2.final_cell_0492,alpha
2988,human2_lib2.final_cell_0493,alpha
2989,human2_lib2.final_cell_0494,alpha
2990,human2_lib2.final_cell_0495,alpha
2991,human2_lib2.final_cell_0496,beta
2992,human2_lib2.final_cell_0497,alpha
2993,human2_lib2.final_cell_0498,alpha
2994,human2_lib2.final_cell_0499,ductal
2995,human2_lib2.final_cell_0500,activated_stellate
2996,human2_lib2.final_cell_0501,ductal
2997,human2_lib2.final_cell_0502,alpha
2998,human2_lib2.final_cell_0503,alpha
2999,human2_lib2.final_cell_0504,mast
3000,human2_lib2.final_cell_0505,alpha
3001,human2_lib2.final_cell_0506,alpha
3002,human2_lib2.final_cell_0507,beta
3003,human2_lib2.final_cell_0508,beta
3004,human2_lib2.final_cell_0509,beta
3005,human2_lib2.final_cell_0510,ductal
3006,human2_lib2.final_cell_0511,beta
3007,human2_lib2.final_cell_0512,alpha
3008,human2_lib2.final_cell_0513,beta
3009,human2_lib2.final_cell_0514,ductal
3010,human2_lib2.final_cell_0515,alpha
3011,human2_lib2.final_cell_0516,schwann
3012,human2_lib2.final_cell_0517,alpha
3013,human2_lib2.final_cell_0518,alpha
3014,human2_lib2.final_cell_0519,beta
3015,human2_lib2.final_cell_0520,gamma
3016,human2_lib2.final_cell_0521,beta
3017,human2_lib2.final_cell_0522,ductal
3018,human2_lib2.final_cell_0523,ductal
3019,human2_lib2.final_cell_0524,alpha
3020,human2_lib2.final_cell_0525,gamma
3021,human2_lib2.final_cell_0526,mast
3022,human2_lib2.final_cell_0527,gamma
3023,human2_lib2.final_cell_0528,mast
3024,human2_lib2.final_cell_0529,alpha
3025,human2_lib2.final_cell_0530,ductal
3026,human2_lib2.final_cell_0531,gamma
