,Cell,Cell_type
3085,F2S4_160321_028_E01,L6 CT VISp Ctxn3 Brinp3
3086,F2S4_160321_028_F01,L6 CT VISp Ctxn3 Brinp3
3087,F2S4_160321_028_G01,L6 IT VISp Penk Col27a1
3088,F2S4_160321_028_H01,L6 IT VISp Penk Col27a1
3089,F2S4_160321_029_A01,L6 IT VISp Penk Col27a1
3090,F2S4_160321_029_B01,L6 IT VISp Penk Col27a1
3091,F2S4_160321_029_C01,L6 IT VISp Penk Col27a1
3092,F2S4_160321_029_D01,L6 IT VISp Penk Col27a1
3093,F2S4_160321_029_E01,L6 IT VISp Col18a1
3094,F2S4_160321_029_F01,L6 IT VISp Penk Col27a1
3095,F2S4_160321_029_G01,L6 IT VISp Col23a1 Adamts2
3096,F2S4_160321_029_H01,L6 IT VISp Col23a1 Adamts2
3097,F2S4_160321_030_A01,L6 IT VISp Col23a1 Adamts2
3098,F2S4_160321_030_B01,L6 IT VISp Col23a1 Adamts2
3099,F2S4_160321_030_C01,L6 CT VISp Ctxn3 Sla
3100,F2S4_160321_030_D01,L6 CT VISp Ctxn3 Brinp3
3101,F2S4_160321_030_E01,L6 IT VISp Penk Col27a1
3102,F2S4_160321_030_F01,L6 IT VISp Penk Col27a1
3103,F2S4_160321_030_G01,Sncg Vip Itih5
3104,F2S4_160321_030_H01,Sst Crhr2 Efemp1
3105,F2S4_160328_005_A01,L5 PT VISp C1ql2 Cdh13
3106,F2S4_160328_005_B01,L5 PT VISp Chrna6
3107,F2S4_160328_005_C01,L5 IT VISp Batf3
3108,F2S4_160328_005_D01,L5 IT VISp Batf3
3109,F2S4_160328_005_E01,L5 PT VISp Chrna6
3110,F2S4_160328_005_F01,L5 IT VISp Batf3
3111,F2S4_160328_005_G01,L5 IT VISp Batf3
3112,F2S4_160328_005_H01,L5 IT VISp Batf3
3113,F2S4_160328_006_A01,L5 IT VISp Batf3
3114,F2S4_160328_006_B01,L5 PT VISp C1ql2 Cdh13
3115,F2S4_160328_006_C01,L5 IT VISp Col27a1
3116,F2S4_160328_006_D01,L5 PT VISp Lgr5
3117,F2S4_160328_006_E01,L5 IT VISp Batf3
3118,F2S4_160328_006_F01,L5 PT VISp Chrna6
3119,F2S4_160328_006_G01,L5 IT VISp Batf3
3120,F2S4_160328_006_H01,L5 PT VISp C1ql2 Cdh13
3121,F2S4_160328_007_A01,L5 IT VISp Col6a1 Fezf2
3122,F2S4_160328_007_B01,L5 IT VISp Batf3
3123,F2S4_160328_007_D01,L5 IT VISp Col27a1
3124,F2S4_160328_007_E01,L5 IT VISp Batf3
3125,F2S4_160328_007_F01,L5 PT VISp C1ql2 Cdh13
3126,F2S4_160328_007_G01,L5 IT VISp Batf3
3127,F2S4_160328_008_A01,L5 PT VISp C1ql2 Ptgfr
3128,F2S4_160328_008_B01,L5 PT VISp Lgr5
3129,F2S4_160328_008_C01,L5 IT VISp Batf3
3130,F2S4_160328_008_D01,L5 PT VISp Krt80
3131,F2S4_160328_008_E01,L5 IT VISp Col6a1 Fezf2
3132,F2S4_160328_008_F01,L5 IT VISp Col27a1
3133,F2S4_160328_009_A01,L6 IT VISp Col18a1
3134,F2S4_160328_009_B01,Sst Crh 4930553C11Rik 
3135,F2S4_160328_009_C01,L6 IT VISp Col23a1 Adamts2
3136,F2S4_160328_009_D01,L6 CT ALM Nxph2 Sla
3137,F2S4_160328_009_E01,L6 IT VISp Col18a1
3138,F2S4_160328_009_F01,L6 CT VISp Nxph2 Wls
3139,F2S4_160328_009_G01,L6 IT VISp Penk Col27a1
3140,F2S4_160328_009_H01,L6 IT VISp Col23a1 Adamts2
3141,F2S4_160328_010_D01,L6 CT ALM Nxph2 Sla
3142,F2S4_160328_010_E01,Sst Mme Fam114a1
3143,F2S4_160328_010_F01,L6 IT VISp Penk Fst
3144,F2S4_160328_010_G01,L6 IT VISp Col23a1 Adamts2
3145,F2S4_160328_010_H01,L6 IT VISp Col23a1 Adamts2
3146,F2S4_160328_011_A01,L6 CT VISp Nxph2 Wls
3147,F2S4_160328_011_B01,L5 IT VISp Batf3
3148,F2S4_160328_011_C01,L5 IT VISp Hsd11b1 Endou
3149,F2S4_160328_011_D01,L5 IT VISp Batf3
3150,F2S4_160328_011_E01,L5 IT VISp Batf3
3151,F2S4_160328_011_F01,L5 PT VISp Krt80
3152,F2S4_160328_011_G01,L5 IT VISp Batf3
3153,F2S4_160328_011_H01,L5 IT VISp Hsd11b1 Endou
3154,F2S4_160328_012_A01,L5 PT VISp Krt80
3155,F2S4_160328_012_D01,Sst Chrna2 Glra3
3156,F2S4_160328_012_F01,L5 PT VISp Krt80
3157,F2S4_160328_012_G01,L5 IT VISp Col27a1
3158,F2S4_160328_013_A01,L5 IT VISp Col27a1
3159,F2S4_160328_013_B01,L5 IT VISp Batf3
3160,F2S4_160328_013_D01,L5 PT VISp C1ql2 Ptgfr
3161,F2S4_160328_013_E01,L5 PT VISp C1ql2 Cdh13
3162,F2S4_160328_013_F01,L5 IT VISp Hsd11b1 Endou
3163,F2S4_160328_013_G01,L5 IT VISp Hsd11b1 Endou
3164,F2S4_160328_013_H01,L5 PT VISp Lgr5
3165,F2S4_160328_014_A01,L5 PT VISp Krt80
3166,F2S4_160328_014_B01,L5 IT VISp Batf3
3167,F2S4_160328_014_C01,L5 IT VISp Batf3
3168,F2S4_160328_014_D01,L6 IT VISp Col18a1
3169,F2S4_160329_001_A01,L2/3 IT VISp Agmat
3170,F2S4_160329_001_B01,Vip Rspo4 Rxfp1 Chat
3171,F2S4_160329_001_C01,L2/3 IT VISp Agmat
3172,F2S4_160329_001_D01,L2/3 IT VISp Adamts2
3173,F2S4_160329_001_E01,L2/3 IT VISp Agmat
3174,F2S4_160329_001_F01,L2/3 IT VISp Adamts2
3175,F2S4_160329_001_G01,L2/3 IT VISp Agmat
3176,F2S4_160329_001_H01,Vip Lect1 Oxtr
3177,F2S4_160329_002_A01,L2/3 IT VISp Agmat
3178,F2S4_160329_002_B01,L2/3 IT VISp Rrad
3179,F2S4_160329_002_C01,L2/3 IT VISp Agmat
3180,F2S4_160329_002_D01,L2/3 IT VISp Agmat
3181,F2S4_160329_002_E01,L2/3 IT VISp Agmat
3182,F2S4_160329_002_F01,Vip Chat Htr1f
3183,F2S4_160329_002_G01,L2/3 IT VISp Agmat
3184,F2S4_160329_002_H01,L2/3 IT VISp Agmat
3185,F2S4_160329_003_A01,L2/3 IT VISp Agmat
3186,F2S4_160329_003_B01,L2/3 IT VISp Agmat
3187,F2S4_160329_003_C01,L2/3 IT VISp Adamts2
3188,F2S4_160329_003_D01,L2/3 IT VISp Adamts2
3189,F2S4_160329_003_E01,L2/3 IT VISp Rrad
3190,F2S4_160329_003_F01,L2/3 IT VISp Agmat
3191,F2S4_160329_003_G01,L2/3 IT VISp Agmat
3192,F2S4_160329_003_H01,L2/3 IT VISp Agmat
3193,F2S4_160329_004_A01,L2/3 IT VISp Agmat
3194,F2S4_160329_004_B01,L2/3 IT VISp Adamts2
3195,F2S4_160329_004_C01,L2/3 IT VISp Adamts2
3196,F2S4_160329_004_D01,L2/3 IT VISp Agmat
3197,F2S4_160329_004_E01,L2/3 IT VISp Agmat
3198,F2S4_160329_004_F01,L2/3 IT VISp Agmat
3199,F2S4_160329_004_G01,L2/3 IT VISp Agmat
3200,F2S4_160329_004_H01,L2/3 IT VISp Agmat
3201,F2S4_160329_005_A01,L2/3 IT VISp Agmat
3202,F2S4_160329_005_B01,L2/3 IT VISp Agmat
3203,F2S4_160329_005_C01,L2/3 IT VISp Agmat
3204,F2S4_160329_005_D01,L2/3 IT VISp Agmat
3205,F2S4_160329_005_E01,L2/3 IT VISp Agmat
3206,F2S4_160329_005_F01,L2/3 IT VISp Rrad
3207,F2S4_160329_005_G01,L2/3 IT VISp Agmat
3208,F2S4_160329_005_H01,L2/3 IT VISp Agmat
3209,F2S4_160329_006_A01,L4 IT VISp Rspo1
3210,F2S4_160329_006_B01,L4 IT VISp Rspo1
3211,F2S4_160329_006_C01,L4 IT VISp Rspo1
3212,F2S4_160329_006_D01,L5 IT VISp Hsd11b1 Endou
3213,F2S4_160329_006_E01,L4 IT VISp Rspo1
3214,F2S4_160329_006_F01,L4 IT VISp Rspo1
3215,F2S4_160329_006_G01,L4 IT VISp Rspo1
3216,F2S4_160329_006_H01,L4 IT VISp Rspo1
3217,F2S4_160329_007_A01,L4 IT VISp Rspo1
3218,F2S4_160329_007_B01,L4 IT VISp Rspo1
3219,F2S4_160329_007_C01,L4 IT VISp Rspo1
3220,F2S4_160329_007_D01,L4 IT VISp Rspo1
3221,F2S4_160329_007_E01,L4 IT VISp Rspo1
3222,F2S4_160329_007_F01,L4 IT VISp Rspo1
3223,F2S4_160329_007_G01,L4 IT VISp Rspo1
3224,F2S4_160329_007_H01,L4 IT VISp Rspo1
3225,F2S4_160329_008_A01,L4 IT VISp Rspo1
3226,F2S4_160329_008_B01,L4 IT VISp Rspo1
3227,F2S4_160329_008_C01,L4 IT VISp Rspo1
3228,F2S4_160329_008_D01,L4 IT VISp Rspo1
3229,F2S4_160329_008_E01,L4 IT VISp Rspo1
3230,F2S4_160329_008_F01,Vip Lmo1 Myl1
3231,F2S4_160329_008_G01,Vip Rspo1 Itga4
3232,F2S4_160329_009_A01,L4 IT VISp Rspo1
3233,F2S4_160329_009_B01,L4 IT VISp Rspo1
3234,F2S4_160329_009_C01,L4 IT VISp Rspo1
3235,F2S4_160329_009_E01,Sst Calb2 Pdlim5
3236,F2S4_160329_009_F01,L4 IT VISp Rspo1
3237,F2S4_160329_009_G01,L5 IT VISp Hsd11b1 Endou
3238,F2S4_160329_009_H01,L4 IT VISp Rspo1
3239,F2S4_160329_010_A01,L4 IT VISp Rspo1
3240,F2S4_160329_010_B01,L4 IT VISp Rspo1
3241,F2S4_160329_010_C01,L4 IT VISp Rspo1
3242,F2S4_160329_010_D01,L4 IT VISp Rspo1
3243,F2S4_160329_010_E01,L4 IT VISp Rspo1
3244,F2S4_160329_010_F01,L5 IT VISp Hsd11b1 Endou
3245,F2S4_160329_010_G01,L4 IT VISp Rspo1
3246,F2S4_160329_010_H01,L4 IT VISp Rspo1
3247,F2S4_160329_011_E01,L5 NP VISp Trhr Met
3248,F2S4_160329_011_F01,L6 IT VISp Col18a1
3249,F2S4_160329_011_G01,L5 NP VISp Trhr Cpne7
3250,F2S4_160329_011_H01,L5 PT VISp C1ql2 Cdh13
3251,F2S4_160329_012_A01,L5 NP VISp Trhr Cpne7
3252,F2S4_160329_012_C01,L5 NP VISp Trhr Cpne7
3253,F2S4_160329_012_E01,L5 IT VISp Col6a1 Fezf2
3254,F2S4_160329_012_H01,L5 IT VISp Batf3
3255,F2S4_160329_013_A01,L5 NP VISp Trhr Cpne7
3256,F2S4_160329_013_B01,L6 IT VISp Penk Col27a1
3257,F2S4_160329_013_C01,L5 IT VISp Batf3
3258,F2S4_160329_013_D01,Vip Igfbp6 Pltp
3259,F2S4_160329_013_E01,L5 NP VISp Trhr Cpne7
3260,F2S4_160329_013_F01,L5 NP VISp Trhr Met
3261,F2S4_160329_013_G01,L5 NP VISp Trhr Cpne7
3262,F2S4_160329_013_H01,Sst Rxfp1 Prdm8
3263,F2S4_160329_014_A01,L5 NP VISp Trhr Cpne7
3264,F2S4_160329_014_B01,L5 NP VISp Trhr Cpne7
3265,F2S4_160329_014_C01,Vip Igfbp4 Mab21l1
3266,F2S4_160329_014_D01,L5 IT VISp Batf3
3267,F2S4_160329_014_E01,L5 NP VISp Trhr Met
3268,F2S4_160329_014_F01,L5 NP VISp Trhr Cpne7
3269,F2S4_160329_014_G01,Vip Lmo1 Myl1
3270,F2S4_160329_014_H01,L5 NP VISp Trhr Met
3271,F2S4_160329_015_A01,L6 IT VISp Col23a1 Adamts2
3272,F2S4_160329_015_B01,L4 IT VISp Rspo1
3273,F2S4_160329_015_C01,L5 NP VISp Trhr Met
3274,F2S4_160329_015_D01,Vip Ptprt Pkp2
3275,F2S4_160329_015_E01,L5 NP VISp Trhr Met
3276,F2S4_160329_015_F01,L5 NP VISp Trhr Met
3277,F2S4_160329_015_H01,L5 NP VISp Trhr Met
3278,F2S4_160329_016_A01,Vip Arhgap36 Hmcn1
3279,F2S4_160329_016_B01,Vip Arhgap36 Hmcn1
3280,F2S4_160329_016_C01,Sst Esm1
3281,F2S4_160329_016_D01,L6 IT VISp Penk Col27a1
3282,F2S4_160329_016_E01,L6 IT VISp Col23a1 Adamts2
3283,F2S4_160329_016_F01,L6 CT VISp Ctxn3 Sla
3284,F2S4_160329_016_G01,L6 IT VISp Penk Col27a1
3285,F2S4_160329_016_H01,L6 IT VISp Penk Col27a1
3286,F2S4_160329_017_A01,L6 IT VISp Col18a1
3287,F2S4_160329_017_C01,L6 IT VISp Col23a1 Adamts2
3288,F2S4_160329_017_D01,L6 CT VISp Ctxn3 Sla
3289,F2S4_160329_017_E01,L6 IT VISp Penk Col27a1
3290,F2S4_160329_017_F01,L6 IT VISp Penk Col27a1
3291,F2S4_160329_017_G01,L6 IT VISp Col23a1 Adamts2
3292,F2S4_160329_018_A01,L6 IT VISp Penk Col27a1
3293,F2S4_160329_018_C01,Vip Arhgap36 Hmcn1
3294,F2S4_160329_018_D01,L6 CT VISp Ctxn3 Brinp3
3295,F2S4_160329_018_E01,L6 IT VISp Penk Col27a1
3296,F2S4_160329_018_F01,L6 CT VISp Gpr139
3297,F2S4_160329_018_G01,L6 IT VISp Col23a1 Adamts2
3298,F2S4_160329_018_H01,L6 IT VISp Penk Col27a1
3299,F2S4_160329_019_A01,Vip Gpc3 Slc18a3
3300,F2S4_160329_019_B01,L6 IT VISp Penk Col27a1
3301,F2S4_160329_019_C01,L6 IT VISp Penk Col27a1
3302,F2S4_160329_019_D01,L6 IT VISp Penk Col27a1
3303,F2S4_160329_019_E01,L6 CT VISp Ctxn3 Brinp3
3304,F2S4_160329_019_F01,L6 CT VISp Ctxn3 Brinp3
3305,F2S4_160329_019_G01,L6 CT VISp Nxph2 Wls
3306,F2S4_160329_019_H01,L6 CT VISp Ctxn3 Brinp3
3307,F2S4_160329_020_A01,L6 IT VISp Penk Col27a1
3308,F2S4_160329_020_B01,L6 CT VISp Ctxn3 Brinp3
3309,F2S4_160329_020_C01,L6 IT VISp Col23a1 Adamts2
3310,F2S4_160329_020_D01,L6 IT VISp Col23a1 Adamts2
3311,F2S4_160329_020_E01,L6 IT VISp Penk Col27a1
3312,F2S4_160329_020_F01,L6 IT VISp Col23a1 Adamts2
3313,F2S4_160329_020_G01,L6 CT VISp Ctxn3 Brinp3
3314,F2S4_160329_020_H01,Sst Crh 4930553C11Rik 
3315,F2S4_160329_021_A01,L6 IT VISp Penk Col27a1
3316,F2S4_160329_021_B01,L6 CT VISp Ctxn3 Sla
3317,F2S4_160329_021_C01,L6 IT VISp Penk Col27a1
3318,F2S4_160329_021_D01,L6 IT VISp Col23a1 Adamts2
3319,F2S4_160329_021_E01,L6 IT VISp Penk Col27a1
3320,F2S4_160329_021_F01,L6 CT VISp Gpr139
3321,F2S4_160329_021_G01,L6 IT VISp Penk Col27a1
3322,F2S4_160329_021_H01,L6 IT VISp Col18a1
3323,F2S4_160329_022_A01,L6 IT VISp Col23a1 Adamts2
3324,F2S4_160329_022_B01,L6 IT VISp Penk Col27a1
3325,F2S4_160329_022_D01,L6 IT VISp Penk Col27a1
3326,F2S4_160329_022_E01,L6 IT VISp Col23a1 Adamts2
3327,F2S4_160329_022_F01,L6 IT VISp Col23a1 Adamts2
3328,F2S4_160329_022_G01,L6 IT VISp Penk Col27a1
3329,F2S4_160329_023_A01,L6 IT VISp Penk Col27a1
3330,F2S4_160329_023_B01,L6 IT VISp Car3
3331,F2S4_160329_023_C01,L6 IT VISp Col23a1 Adamts2
3332,F2S4_160329_023_D01,L6 IT VISp Penk Col27a1
3333,F2S4_160329_023_E01,L6 IT VISp Penk Col27a1
3334,F2S4_160329_023_F01,L6 IT VISp Penk Col27a1
3335,F2S4_160329_023_G01,L6 CT VISp Ctxn3 Sla
3336,F2S4_160329_023_H01,L6 IT VISp Penk Col27a1
3337,F2S4_160329_024_A01,L6 IT VISp Col23a1 Adamts2
3338,F2S4_160329_024_B01,L6 IT VISp Penk Col27a1
3339,F2S4_160329_024_C01,L6 CT VISp Gpr139
3340,F2S4_160329_024_D01,L6 IT VISp Penk Col27a1
3341,F2S4_160329_024_E01,L6 IT VISp Penk Col27a1
3342,F2S4_160329_024_F01,L6 IT VISp Penk Col27a1
3343,F2S4_160329_024_G01,Sst Esm1
3344,F2S4_160329_024_H01,L6 CT VISp Ctxn3 Sla
3345,F2S4_160329_025_A01,L6 IT VISp Penk Col27a1
3346,F2S4_160329_025_B01,L6 IT VISp Col23a1 Adamts2
3347,F2S4_160329_025_C01,L6 IT VISp Penk Col27a1
3348,F2S4_160329_025_E01,L6 IT VISp Col23a1 Adamts2
3349,F2S4_160329_025_F01,L6 IT VISp Penk Fst
3350,F2S4_160329_025_G01,L6 CT VISp Nxph2 Wls
3351,F2S4_160329_025_H01,L6 IT VISp Penk Fst
3352,F2S4_160329_026_B01,L5 IT VISp Batf3
3353,F2S4_160329_026_C01,L5 NP VISp Trhr Met
3354,F2S4_160329_026_D01,L5 NP VISp Trhr Cpne7
3355,F2S4_160329_026_E01,L5 NP VISp Trhr Cpne7
3356,F2S4_160329_026_F01,Vip Lmo1 Fam159b
3357,F2S4_160329_026_G01,L5 IT VISp Batf3
3358,F2S4_160329_026_H01,L6 IT VISp Penk Col27a1
3359,F2S4_160329_027_A01,L5 IT VISp Col27a1
3360,F2S4_160329_027_B01,L5 IT VISp Batf3
3361,F2S4_160329_027_C01,L6 IT VISp Penk Col27a1
3362,F2S4_160329_027_D01,L5 IT VISp Col27a1
3363,F2S4_160329_027_E01,L6 IT VISp Penk Col27a1
3364,F2S4_160329_027_F01,L5 IT VISp Batf3
3365,F2S4_160329_027_G01,L6 IT VISp Penk Col27a1
3366,F2S4_160329_027_H01,L5 IT VISp Batf3
3367,F2S4_160329_028_A01,Sst Myh8 Fibin
3368,F2S4_160329_028_C01,L5 IT VISp Col6a1 Fezf2
3369,F2S4_160329_028_D01,Vip Ptprt Pkp2
3370,F2S4_160329_028_E01,L6 IT VISp Col18a1
3371,F2S4_160329_028_F01,Vip Lmo1 Fam159b
3372,F2S4_160329_028_G01,L5 IT VISp Batf3
3373,F2S4_160329_028_H01,L5 IT VISp Col27a1
3374,F2S4_160329_029_A01,L6 IT VISp Penk Col27a1
3375,F2S4_160329_029_B01,L5 IT VISp Batf3
3376,F2S4_160329_029_C01,L6 IT VISp Penk Col27a1
3377,F2S4_160329_029_D01,L6 IT VISp Col23a1 Adamts2
3378,F2S4_160329_029_E01,L5 NP VISp Trhr Cpne7
3379,F2S4_160329_029_F01,L6 IT VISp Penk Col27a1
3380,F2S4_160329_029_G01,L6 IT VISp Penk Col27a1
3381,F2S4_160329_029_H01,L5 PT VISp C1ql2 Cdh13
3382,F2S4_160329_030_B01,L6 IT VISp Col18a1
3383,F2S4_160329_030_C01,Vip Arhgap36 Hmcn1
3384,F2S4_160329_030_D01,L6 IT VISp Penk Col27a1
3385,F2S4_160329_030_E01,L6 IT VISp Penk Col27a1
3386,F2S4_160329_030_F01,L5 NP VISp Trhr Cpne7
3387,F2S4_160329_030_G01,L5 IT VISp Whrn Tox2
3388,F2S4_160329_030_H01,L5 PT VISp Krt80
3389,F2S4_160330_001_A01,Lamp5 Plch2 Dock5
3390,F2S4_160330_001_B01,Lamp5 Lsp1
3391,F2S4_160330_001_C01,Vip Pygm C1ql1
3392,F2S4_160330_001_D01,Vip Ptprt Pkp2
3393,F2S4_160330_001_E01,Vip Crispld2 Htr2c
3394,F2S4_160330_001_F01,Vip Ptprt Pkp2
3395,F2S4_160330_001_G01,Vip Chat Htr1f
3396,F2S4_160330_001_H01,Vip Igfbp6 Pltp
3397,F2S4_160330_002_A01,L2/3 IT VISp Agmat
3398,F2S4_160330_002_B01,L2/3 IT VISp Agmat
3399,F2S4_160330_002_C01,Lamp5 Lsp1
3400,F2S4_160330_002_D01,Lamp5 Plch2 Dock5
3401,F2S4_160330_002_E01,Sst Chodl
3402,F2S4_160330_002_F01,Lamp5 Ntn1 Npy2r
3403,F2S4_160330_002_H01,Lamp5 Fam19a1 Pax6
3404,F2S4_160330_003_A01,L4 IT VISp Rspo1
3405,F2S4_160330_003_B01,L2/3 IT VISp Agmat
3406,F2S4_160330_003_C01,L2/3 IT VISp Agmat
3407,F2S4_160330_003_E01,Lamp5 Lsp1
3408,F2S4_160330_003_F01,Lamp5 Ntn1 Npy2r
3409,F2S4_160330_003_G01,Lamp5 Lsp1
3410,F2S4_160330_003_H01,Lamp5 Lsp1
3411,F2S4_160330_004_A01,Vip Igfbp6 Car10
3412,F2S4_160330_004_B01,Vip Crispld2 Htr2c
3413,F2S4_160330_004_C01,Vip Lect1 Oxtr
3414,F2S4_160330_004_D01,L2/3 IT VISp Agmat
3415,F2S4_160330_004_E01,L4 IT VISp Rspo1
3416,F2S4_160330_004_F01,Vip Crispld2 Htr2c
3417,F2S4_160330_004_G01,Lamp5 Fam19a1 Tmem182
3418,F2S4_160330_004_H01,L4 IT VISp Rspo1
3419,F2S4_160330_005_A01,Vip Chat Htr1f
3420,F2S4_160330_005_C01,Lamp5 Lsp1
3421,F2S4_160330_005_D01,Vip Chat Htr1f
3422,F2S4_160330_005_E01,Lamp5 Lsp1
3423,F2S4_160330_005_F01,Vip Lect1 Oxtr
3424,F2S4_160330_005_G01,Vip Lmo1 Myl1
3425,F2S4_160330_006_A01,Pvalb Calb1 Sst
3426,F2S4_160330_006_B01,L6 CT VISp Ctxn3 Sla
3427,F2S4_160330_006_C01,L6 CT VISp Ctxn3 Brinp3
3428,F2S4_160330_006_D01,L6 IT VISp Penk Fst
3429,F2S4_160330_006_E01,L6 IT VISp Penk Col27a1
3430,F2S4_160330_006_F01,Sst Rxfp1 Prdm8
3431,F2S4_160330_006_G01,L6 CT VISp Ctxn3 Sla
3432,F2S4_160330_006_H01,L6 CT VISp Ctxn3 Sla
3433,F2S4_160330_007_A01,L6 CT VISp Ctxn3 Sla
3434,F2S4_160330_007_B01,L6 IT VISp Penk Col27a1
3435,F2S4_160330_007_C01,L6 CT VISp Ctxn3 Brinp3
3436,F2S4_160330_007_D01,L6 IT VISp Penk Col27a1
3437,F2S4_160330_007_E01,L6 CT VISp Ctxn3 Brinp3
3438,F2S4_160330_007_F01,L6 CT VISp Ctxn3 Brinp3
3439,F2S4_160330_007_H01,L6 IT VISp Penk Col27a1
3440,F2S4_160330_008_A01,L6 CT VISp Krt80 Sla
3441,F2S4_160330_008_B01,L6 CT VISp Ctxn3 Brinp3
3442,F2S4_160330_008_C01,L6 CT VISp Ctxn3 Sla
3443,F2S4_160330_008_D01,L6 CT VISp Ctxn3 Brinp3
3444,F2S4_160330_008_E01,Sst Esm1
3445,F2S4_160330_008_F01,L6 CT VISp Krt80 Sla
3446,F2S4_160330_008_G01,L6 IT VISp Col23a1 Adamts2
3447,F2S4_160330_008_H01,Vip Gpc3 Slc18a3
3448,F2S4_160330_009_A01,L6 CT VISp Ctxn3 Sla
3449,F2S4_160330_009_B01,L6 CT VISp Ctxn3 Brinp3
3450,F2S4_160330_009_C01,Sst Chodl
3451,F2S4_160330_009_D01,L6 CT VISp Krt80 Sla
3452,F2S4_160330_009_E01,L6 CT VISp Ctxn3 Sla
3453,F2S4_160330_009_F01,L6 CT VISp Ctxn3 Brinp3
3454,F2S4_160330_009_G01,L6 CT VISp Ctxn3 Brinp3
3455,F2S4_160330_009_H01,L6 CT VISp Ctxn3 Sla
3456,F2S4_160330_010_A01,L6 IT VISp Penk Col27a1
3457,F2S4_160330_010_B01,L6 IT VISp Col23a1 Adamts2
3458,F2S4_160330_010_C01,L6 CT VISp Ctxn3 Brinp3
3459,F2S4_160330_010_E01,L6 IT VISp Penk Fst
3460,F2S4_160330_010_F01,L6 CT VISp Nxph2 Wls
3461,F2S4_160330_010_G01,L6 CT VISp Krt80 Sla
3462,F2S4_160330_010_H01,L6 CT VISp Ctxn3 Sla
3463,F2S4_160330_011_A01,L4 IT VISp Rspo1
3464,F2S4_160330_011_B01,L4 IT VISp Rspo1
3465,F2S4_160330_011_C01,L4 IT VISp Rspo1
3466,F2S4_160330_011_D01,L4 IT VISp Rspo1
3467,F2S4_160330_011_F01,L4 IT VISp Rspo1
3468,F2S4_160330_011_G01,L4 IT VISp Rspo1
3469,F2S4_160330_011_H01,L4 IT VISp Rspo1
3470,F2S4_160330_012_A01,L4 IT VISp Rspo1
3471,F2S4_160330_012_B01,L4 IT VISp Rspo1
3472,F2S4_160330_012_C01,L4 IT VISp Rspo1
3473,F2S4_160330_012_D01,L4 IT VISp Rspo1
3474,F2S4_160330_012_E01,Lamp5 Lsp1
3475,F2S4_160330_012_F01,L4 IT VISp Rspo1
3476,F2S4_160330_012_G01,L4 IT VISp Rspo1
3477,F2S4_160330_012_H01,L4 IT VISp Rspo1
3478,F2S4_160330_013_A01,L4 IT VISp Rspo1
3479,F2S4_160330_013_B01,L4 IT VISp Rspo1
3480,F2S4_160330_013_C01,L4 IT VISp Rspo1
3481,F2S4_160330_013_D01,Vip Ptprt Pkp2
3482,F2S4_160330_013_E01,L4 IT VISp Rspo1
3483,F2S4_160330_013_F01,L4 IT VISp Rspo1
3484,F2S4_160330_013_G01,L4 IT VISp Rspo1
3485,F2S4_160330_013_H01,L4 IT VISp Rspo1
3486,F2S4_160330_014_A01,L4 IT VISp Rspo1
3487,F2S4_160330_014_B01,L4 IT VISp Rspo1
3488,F2S4_160330_014_C01,L4 IT VISp Rspo1
3489,F2S4_160330_014_D01,Vip Pygm C1ql1
3490,F2S4_160330_014_E01,L4 IT VISp Rspo1
3491,F2S4_160330_014_F01,Vip Arhgap36 Hmcn1
3492,F2S4_160330_014_G01,L4 IT VISp Rspo1
3493,F2S4_160330_014_H01,L4 IT VISp Rspo1
3494,F2S4_160330_015_A01,L4 IT VISp Rspo1
3495,F2S4_160330_015_B01,L4 IT VISp Rspo1
3496,F2S4_160330_015_D01,L4 IT VISp Rspo1
3497,F2S4_160330_015_E01,L4 IT VISp Rspo1
3498,F2S4_160330_015_F01,Vip Pygm C1ql1
3499,F2S4_160330_015_G01,L4 IT VISp Rspo1
3500,F2S4_160330_015_H01,L4 IT VISp Rspo1
3501,F2S4_160330_016_A01,L2/3 IT VISp Agmat
3502,F2S4_160330_016_B01,L2/3 IT VISp Agmat
3503,F2S4_160330_016_C01,L2/3 IT VISp Agmat
3504,F2S4_160330_016_D01,L2/3 IT VISp Adamts2
3505,F2S4_160330_016_E01,L2/3 IT VISp Agmat
3506,F2S4_160330_016_F01,L2/3 IT VISp Rrad
3507,F2S4_160330_016_H01,L2/3 IT VISp Agmat
3508,F2S4_160330_017_A01,Sncg Vip Nptx2
3509,F2S4_160330_017_B01,L2/3 IT VISp Agmat
3510,F2S4_160330_017_C01,L2/3 IT VISp Agmat
3511,F2S4_160330_017_D01,Vip Ptprt Pkp2
3512,F2S4_160330_017_E01,L2/3 IT VISp Agmat
3513,F2S4_160330_017_F01,L2/3 IT VISp Adamts2
3514,F2S4_160330_017_G01,L2/3 IT VISp Agmat
3515,F2S4_160330_017_H01,L2/3 IT VISp Agmat
3516,F2S4_160330_018_A01,L4 IT VISp Rspo1
3517,F2S4_160330_018_B01,L2/3 IT VISp Agmat
3518,F2S4_160330_018_C01,L2/3 IT VISp Agmat
3519,F2S4_160330_018_D01,L2/3 IT VISp Adamts2
3520,F2S4_160330_018_E01,L4 IT VISp Rspo1
3521,F2S4_160330_018_F01,L2/3 IT VISp Agmat
3522,F2S4_160330_018_H01,L2/3 IT VISp Rrad
3523,F2S4_160330_019_A01,L2/3 IT VISp Agmat
